"date","hasGoal","hasRevenue","sessionCount","sessions__duration","sessions__deviceCategory","sessions__channel","sessions__activitySummary__PAGEVIEW","sessions__activities__time","sessions__activities__type","sessions__activities__details__Page title__-","sessions__activities__details__Page URL__-","sessions__activities__pageTitle"
"May 20, 2019","False","False","1","00:45","mobile","Direct","3","8:22 AM","PAGEVIEW","theKameraStore","/index.html","theKameraStore"
"","","","","","","","","8:22 AM","PAGEVIEW","Cart","/cart.html","Cart"
"","","","","","","","","8:22 AM","PAGEVIEW","theKameraStore","/index.html","theKameraStore"
"May 19, 2019","False","False","4","00:00","mobile","Direct","1","7:51 PM","PAGEVIEW","theKameraStore","/","theKameraStore"
"","","","","00:00","mobile","Direct","1","6:46 PM","PAGEVIEW","theKameraStore","/","theKameraStore"
"","","","","00:00","mobile","Direct","1","4:15 PM","PAGEVIEW","theKameraStore","/index.html","theKameraStore"
"","","","","00:04","mobile","Direct","4","10:06 AM","PAGEVIEW","Canon EOS 1500D","/product_1.html","Canon EOS 1500D"
"","","","","","","","","10:06 AM","PAGEVIEW","Brand","/brand","Brand"
"","","","","","","","","10:06 AM","PAGEVIEW","theKameraStore","/index.html","theKameraStore"
"","","","","","","","","10:06 AM","PAGEVIEW","theKameraStore","/","theKameraStore"
"May 18, 2019","False","False","1","01:00","mobile","Direct","4","11:24 PM","PAGEVIEW","theKameraStore","/index.html","theKameraStore"
"","","","","","","","","11:24 PM","PAGEVIEW","Brand","/brand","Brand"
"","","","","","","","","11:24 PM","PAGEVIEW","Fujifilm","/fujifilm","Fujifilm"
"","","","","","","","","11:23 PM","PAGEVIEW","theKameraStore","/","theKameraStore"
