"date","hasGoal","hasRevenue","sessionCount","sessions__duration","sessions__deviceCategory","sessions__channel","sessions__activitySummary__PAGEVIEW","sessions__activities__time","sessions__activities__type","sessions__activities__details__Page title__-","sessions__activities__details__Page URL__-","sessions__activities__pageTitle"
"May 19, 2019","False","False","1","01:10","mobile","Direct","7","10:22 AM","PAGEVIEW","theKameraStore","/index.html","theKameraStore"
"","","","","","","","","10:22 AM","PAGEVIEW","theKameraStore","/index.html","theKameraStore"
"","","","","","","","","10:22 AM","PAGEVIEW","Checkout","/checkout.html","Checkout"
"","","","","","","","","10:22 AM","PAGEVIEW","Cart","/cart.html","Cart"
"","","","","","","","","10:21 AM","PAGEVIEW","Canon EOS M Mount Adapter","/product_a.html","Canon EOS M Mount Adapter"
"","","","","","","","","10:21 AM","PAGEVIEW","Other Accessories","/accessories","Other Accessories"
"","","","","","","","","10:21 AM","PAGEVIEW","theKameraStore","/","theKameraStore"
"May 18, 2019","False","False","1","01:19","mobile","Direct","9","11:30 PM","PAGEVIEW","theKameraStore","/index.html","theKameraStore"
"","","","","","","","","11:30 PM","PAGEVIEW","Checkout","/checkout.html","Checkout"
"","","","","","","","","11:30 PM","PAGEVIEW","Cart","/cart.html","Cart"
"","","","","","","","","11:30 PM","PAGEVIEW","Canon EOS M100","/product_4.html","Canon EOS M100"
"","","","","","","","","11:30 PM","PAGEVIEW","Brand","/brand","Brand"
"","","","","","","","","11:29 PM","PAGEVIEW","theKameraStore","/","theKameraStore"
"","","","","","","","","11:29 PM","PAGEVIEW","Cart","/cart.html","Cart"
"","","","","","","","","11:29 PM","PAGEVIEW","theKameraStore","/","theKameraStore"
"","","","","","","","","11:29 PM","PAGEVIEW","theKameraStore","/","theKameraStore"
