"date","hasGoal","hasRevenue","sessionCount","sessions__duration","sessions__deviceCategory","sessions__channel","sessions__activitySummary__PAGEVIEW","sessions__activities__time","sessions__activities__type","sessions__activities__details__Page title__-","sessions__activities__details__Page URL__-","sessions__activities__pageTitle"
"May 20, 2019","False","False","1","00:00","desktop","Referral","1","2:54 PM","PAGEVIEW","theKameraStore","/","theKameraStore"
"May 19, 2019","False","False","4","00:07","desktop","Referral","3","10:28 PM","PAGEVIEW","Nikon Coolpix B500","/product_6.html","Nikon Coolpix B500"
"","","","","","","","","10:28 PM","PAGEVIEW","Nikon","/nikon","Nikon"
"","","","","","","","","10:28 PM","PAGEVIEW","theKameraStore","/","theKameraStore"
"","","","","00:17","desktop","Referral","7","10:46 AM","PAGEVIEW","theKameraStore","/index.html","theKameraStore"
"","","","","","","","","10:46 AM","PAGEVIEW","theKameraStore","/index.html","theKameraStore"
"","","","","","","","","10:46 AM","PAGEVIEW","Checkout","/checkout.html","Checkout"
"","","","","","","","","10:46 AM","PAGEVIEW","Cart","/cart.html","Cart"
"","","","","","","","","10:46 AM","PAGEVIEW","Nikon Coolpix W100","/product_8.html","Nikon Coolpix W100"
"","","","","","","","","10:46 AM","PAGEVIEW","Nikon","/nikon","Nikon"
"","","","","","","","","10:46 AM","PAGEVIEW","theKameraStore","/","theKameraStore"
"","","","","00:27","desktop","Referral","5","9:45 AM","PAGEVIEW","Checkout","/checkout.html","Checkout"
"","","","","","","","","9:45 AM","PAGEVIEW","Cart","/cart.html","Cart"
"","","","","","","","","9:45 AM","PAGEVIEW","Coat for Canon EF","/product_b.html","Coat for Canon EF"
"","","","","","","","","9:45 AM","PAGEVIEW","Other Accessories","/accessories","Other Accessories"
"","","","","","","","","9:45 AM","PAGEVIEW","theKameraStore","/","theKameraStore"
"","","","","01:12","desktop","Referral","18","12:08 AM","PAGEVIEW","theKameraStore","/index.html","theKameraStore"
"","","","","","","","","12:08 AM","PAGEVIEW","Checkout","/checkout.html","Checkout"
"","","","","","","","","12:07 AM","PAGEVIEW","Cart","/cart.html","Cart"
"","","","","","","","","12:07 AM","PAGEVIEW","Canon","/canon","Canon"
"","","","","","","","","12:07 AM","PAGEVIEW","Brand","/brand","Brand"
"","","","","","","","","12:07 AM","PAGEVIEW","theKameraStore","/index.html","theKameraStore"
"","","","","","","","","12:07 AM","PAGEVIEW","theKameraStore","/index.html","theKameraStore"
"","","","","","","","","12:07 AM","PAGEVIEW","Brand","/brand","Brand"
"","","","","","","","","12:07 AM","PAGEVIEW","Fujifilm","/fujifilm","Fujifilm"
"","","","","","","","","12:07 AM","PAGEVIEW","Fujifilm","/fujifilm","Fujifilm"
"","","","","","","","","12:07 AM","PAGEVIEW","Canon","/canon","Canon"
"","","","","","","","","12:07 AM","PAGEVIEW","Fujifilm","/fujifilm","Fujifilm"
"","","","","","","","","12:07 AM","PAGEVIEW","Fujifilm","/fujifilm","Fujifilm"
"","","","","","","","","12:07 AM","PAGEVIEW","Fujifilm","/fujifilm","Fujifilm"
"","","","","","","","","12:07 AM","PAGEVIEW","Other Accessories","/accessories","Other Accessories"
"","","","","","","","","12:07 AM","PAGEVIEW","Canon PowerShot SX430B","/product_2.html","Canon PowerShot SX430B"
"","","","","","","","","12:07 AM","PAGEVIEW","Canon","/canon","Canon"
"","","","","","","","","12:06 AM","PAGEVIEW","theKameraStore","/","theKameraStore"
"May 18, 2019","False","False","3","00:24","desktop","Referral","4","11:17 PM","PAGEVIEW","theKameraStore","/","theKameraStore"
"","","","","","","","","11:17 PM","PAGEVIEW","theKameraStore","/index.html","theKameraStore"
"","","","","","","","","11:17 PM","PAGEVIEW","Canon","/canon","Canon"
"","","","","","","","","11:17 PM","PAGEVIEW","theKameraStore","/","theKameraStore"
"","","","","09:31","desktop","Referral","22","10:38 PM","PAGEVIEW","Canon","/canon","Canon"
"","","","","","","","","10:37 PM","PAGEVIEW","theKameraStore","/index.html","theKameraStore"
"","","","","","","","","10:37 PM","PAGEVIEW","Nikon","/nikon","Nikon"
"","","","","","","","","10:37 PM","PAGEVIEW","theKameraStore","/","theKameraStore"
"","","","","","","","","10:36 PM","PAGEVIEW","theKameraStore","/","theKameraStore"
"","","","","","","","","10:36 PM","PAGEVIEW","theKameraStore","/index.html","theKameraStore"
