"date","hasGoal","hasRevenue","sessionCount","sessions__duration","sessions__deviceCategory","sessions__channel","sessions__activitySummary__PAGEVIEW","sessions__activities__time","sessions__activities__type","sessions__activities__details__Page title__-","sessions__activities__details__Page URL__-","sessions__activities__pageTitle"
"May 19, 2019","False","False","2","00:00","desktop","Direct","1","12:16 PM","PAGEVIEW","Brand","/brand","Brand"
"","","","","00:54","mobile","Direct","17","11:05 AM","PAGEVIEW","Brand","/brand","Brand"
"","","","","","","","","11:05 AM","PAGEVIEW","Fujifilm Instax Mini 50S","/product_12.html","Fujifilm Instax Mini 50S"
"","","","","","","","","11:05 AM","PAGEVIEW","Brand","/brand","Brand"
"","","","","","","","","11:05 AM","PAGEVIEW","Nikon Coolpix W100","/product_8.html","Nikon Coolpix W100"
"","","","","","","","","11:04 AM","PAGEVIEW","Cart","/cart.html","Cart"
"","","","","","","","","11:04 AM","PAGEVIEW","Nikon Coolpix W100","/product_8.html","Nikon Coolpix W100"
"","","","","","","","","11:04 AM","PAGEVIEW","Brand","/brand","Brand"
"","","","","","","","","11:04 AM","PAGEVIEW","Canon EOS M100","/product_4.html","Canon EOS M100"
"","","","","","","","","11:04 AM","PAGEVIEW","Brand","/brand","Brand"
"","","","","","","","","11:04 AM","PAGEVIEW","Canon PowerShot SX610 HS (Red)","/product_3.html","Canon PowerShot SX610 HS (Red)"
"","","","","","","","","11:04 AM","PAGEVIEW","Brand","/brand","Brand"
"","","","","","","","","11:04 AM","PAGEVIEW","Canon PowerShot SX430B","/product_2.html","Canon PowerShot SX430B"
"","","","","","","","","11:04 AM","PAGEVIEW","Brand","/brand","Brand"
"","","","","","","","","11:04 AM","PAGEVIEW","Canon EOS 1500D","/product_1.html","Canon EOS 1500D"
"","","","","","","","","11:04 AM","PAGEVIEW","Brand","/brand","Brand"
"","","","","","","","","11:04 AM","PAGEVIEW","theKameraStore","/","theKameraStore"
"","","","","","","","","11:04 AM","PAGEVIEW","theKameraStore","/","theKameraStore"
